1786186073.6383407,64973799424
1786186074.6396108,64873168896
1786186075.6408744,64872984576
1786186076.642133,64873353216
1786186077.6433911,64873648128
1786186078.6446095,64873390080
1786186079.6459653,64873390080
1786186080.6465676,64873127936
1786186081.6477818,64988577792
1786186082.6491597,64872878080
1786186083.6505947,64872878080
1786186084.6520238,64872505344
1786186085.6533048,64872878080
1786186086.654709,64873127936
1786186087.6562712,64873263104
1786186088.657703,64872763392
1786186089.658581,64872890368
1786186090.6599793,64873025536
1786186091.6614,64898678784
1786186092.6626658,64873316352
1786186093.6636164,64873160704
1786186094.6650271,64872914944
1786186095.6659515,64872800256
1786186096.666545,64872792064
1786186097.6679363,64872845312
1786186098.669337,64872910848
1786186099.6707747,64973447168
1786186100.671536,64872906752
1786186101.6727731,64872738816
1786186102.6741729,64873164800
1786186103.6750567,64873000960
1786186104.6763475,64872886272
1786186105.6777377,64873005056
1786186106.6788144,64873074688
1786186107.6802433,64987947008
1786186108.6816723,64872894464
1786186109.6825545,64873164800
1786186110.6839528,64873050112
1786186111.6854026,64872767488
1786186112.686863,64872935424
1786186113.6882832,64872816640
1786186114.689571,64872939520
1786186115.6908069,64987574272
1786186116.6921945,64872919040
1786186117.6935549,64873414656
1786186118.6947129,64873254912
1786186119.6959555,64872890368
1786186120.6973538,64873308160
1786186121.6987827,64873213952
1786186122.7002273,64873816064
1786186123.7016613,64988729344
1786186124.7025778,64872124416
1786186125.7038097,64872181760
1786186126.7050278,64872165376
1786186127.7064219,64872570880
1786186128.7076705,64872173568
1786186129.7090025,64872493056
1786186130.7104316,64871931904
1786186131.711928,64872579072
1786186132.7132304,64872792064
1786186133.7146342,64872177664
1786186134.7160635,64872304640
1786186135.71642,64871772160
1786186136.7177603,64872054784
1786186137.7191525,64871800832
1786186138.7198422,64871919616
1786186139.721263,64872456192
1786186140.722693,64896966656
1786186141.7239282,64872087552
1786186142.7253087,64872439808
1786186143.7267141,64872701952
1786186144.7279496,64873558016
1786186145.7291512,64873304064
1786186146.7305264,64873074688
1786186147.7319283,64986820608
1786186148.7331548,64872968192
1786186149.7343757,64872665088
1786186150.7356179,64872550400
1786186151.73701,64872288256
1786186152.7384748,64872628224
1786186153.7398255,64872833024
1786186154.741073,64872525824
